react_id,kappmax_davidi_per_pp_per_s_ensemble_model,kappmax_davidi_per_pp_per_s_median_imputed,kappmax_KO_ALE_davidi_per_pp_per_s_ensemble_model,kappmax_KO_ALE_davidi_per_pp_per_s_median_imputed,kappmax_KO_ALE_per_pp_per_s_ensemble_model,kappmax_KO_ALE_per_pp_per_s_median_imputed,kcat_in_vitro_per_s_ensemble_model,kcat_in_vitro_per_s_median_imputed
APG3PAT181,2.94793550834426,6.2,5.4924414425035,4.2,3.41643923588545,3.2680205804032,19.8477068966358,16.616666665
APH120,3.51749019479577,6.2,5.64532486823644,4.2,3.12568016786544,3.2680205804032,8.31366842027044,16.616666665
APH140,3.51749019479577,6.2,5.64532486823644,4.2,3.12568016786544,3.2680205804032,8.31366842027044,16.616666665
APH141,3.51749019479577,6.2,5.64532486823644,4.2,3.12568016786544,3.2680205804032,8.31366842027044,16.616666665
APH160,3.51749019479577,6.2,5.64532486823644,4.2,3.12568016786544,3.2680205804032,8.31366842027044,16.616666665
APH161,3.51749019479577,6.2,5.64532486823644,4.2,3.12568016786544,3.2680205804032,8.31366842027044,16.616666665
APH180,3.51749019479577,6.2,5.64532486823644,4.2,3.12568016786544,3.2680205804032,8.31366842027044,16.616666665
APH181,3.51749019479577,6.2,5.64532486823644,4.2,3.12568016786544,3.2680205804032,8.31366842027044,16.616666665
APPLDHr,5.57578446639097,6.2,5.94746483433418,4.2,2.49900467470292,3.2680205804032,8.24587136945753,16.616666665
APPLDHr_b,4.61287046250354,6.2,5.52112613019445,4.2,2.82712501565749,3.2680205804032,13.2901907830162,16.616666665
